"","LONGITUDE","LATITUDE","NAME","ADDRESS","ID","AADTT","FLEET","ID_2"
"176",-104.9045029,39.79029846,"TA Travel Center","TA Travel Center
I-70/I-270, Exit 278 (Quebec St. Exit), 5101 Quebec Street
Denver CO
Phone:80207

","467",21550,0,"536"
"177",-109.010018,40.246013,"Indie Truck Stop","Gateway Conoco
124 Brontosaurus Boulevard
Dinosaur CO
Phone:81610

","468",485,0,"537"
"178",-105.613197,39.766374,"Indie Truck Stop","Downieville Fuel Stop
I-70 Ex 234, 1039 County Rd 308
Dumont CO
Phone:80452

","469",2950,0,"538"
"179",-102.785592,38.488083,"Loves Travel Stop","Loves Travel Stop
15596 Hwy 287
Eads CO
Phone:81036

","470",1450,0,"539"
"180",-104.71115,40.525386,"Indie Truck Stop","Agland
55 Oak Avenue
Eaton CO
Phone:80615

","471",0,0,"540"
"181",-104.688282,40.38459,"Indie Truck Stop","Sunmart
665 31st Street
Evans CO
Phone:80620

","472",2780,0,"541"
"182",-105.991162,39.225471,"Indie Truck Stop","Silver Hills Travel Plaza
Hwy 285, 640 Hwy 285
Fairplay CO
Phone:80432

","473",557,0,"542"
"183",-104.976738,40.161998,"Indie Truck Stop","Get On The Go
I-25 Ex 240, 11099 E. I-25 Frontage Rd
Firestone CO
Phone:80504

","474",8450,0,"543"
"184",-103.06161,39.281018,"Indie Truck Stop","Country Store
I-70 Ex 395, 16995 County Road 5
Flagler CO
Phone:80815

","475",2010,0,"544"
"185",-104.81099,40.095161,"Indie Truck Stop","Highway 85 Services
641 14st St
Fort Lupton CO
Phone:80621

","476",1400,0,"545"
"186",-103.772275,40.264152,"Indie Truck Stop","Reata Travel Stop
1305 Barlow Road
Fort Morgan CO
Phone:80701

","477",2580,0,"546"
"187",-104.711756,38.672541,"Indie Truck Stop","Tomahawk Autotruck Plaza
I-25 Exit 128, 1101 S Santa Fe Ave
Fountain CO
Phone:80817

","478",4255,0,"547"
"188",-104.729244,38.7234,"Loves Travel Stop","Loves Country Store
5505 Travel Plaza Drive, I-25 Exit 132
Fountain CO
Phone:80817

","479",5000,0,"548"
"189",-104.984113,40.087487,"Indie Truck Stop","2552 Auto Truck Plaza
I-25 Ex 235 (Hwy 52), 3768 State Highway 52
Frederick CO
Phone:80516

","480",5800,0,"549"
"190",-108.739024,39.153694,"AM Best","Loco Travel Stop 17
I-70 Exit 19, 555 Raptor Road
Fruita CO
Phone:81521

","481",2530,0,"550"
"191",-105.207997,39.69788,"Indie Truck Stop","Sunmart
18561 U.S. 40
Golden CO
Phone:80401

","482",5445,0,"551"
"192",-108.570998,39.069694,"Indie Truck Stop","Shell
I-70 Ex 26 (Hwy 50/Hwy 6), 333 N 1st St
Grand Junction CO
Phone:81501

","483",3280,0,"552"
"193",-108.645326,39.114562,"Loves Travel Stop","Loves Travel Stop
I-70 Exit 26
Grand Junction CO
Phone:

","484",3750,0,"553"
"194",-108.647866,39.113361,"Pilot Travel Center","Pilot Travel Center
I-70, Exit 26, 2195 Hwy 6 & 50
Grand Junction CO
Phone:81505

","485",3750,0,"554"
"195",-108.6406937,39.1089859,"TA Travel Center","TA Travel Center
I-70, Exit 266, 2222 US Hwy 6
Grand Junction CO
Phone:81505

","486",2770,0,"555"
"196",-104.680505,40.413037,"Indie Truck Stop","Agland
1607 2nd Avenue
Greeley CO
Phone:80631

","487",2805,0,"556"
"197",-104.680375,40.413602,"Indie Truck Stop","Stampede Agland 16th St Plaza
US85 and 16th St, 206 16th St
Greeley CO
Phone:80634

","488",2805,0,"557"
"198",-106.851167,38.536985,"Indie Truck Stop","Tomichi Creek Trading Post
U.S. 50
Gunnison CO
Phone:81248

","489",438,0,"558"
"199",-106.934411,38.543928,"Loves Travel Stop","Loves Country Store
108 S. 12th
Gunnison CO
Phone:81230

","490",735,0,"559"
"200",-105.87971,37.74592,"Indie Truck Stop","Miss Debs
Hwy 17, 11704 Hwy 17
Hooper CO
Phone:81136

","491",100,0,"560"
"201",-104.649147,40.077008,"Loves Travel Stop","Loves Travel Stop
201 E Colorado Hwy 52, 52 Exit 31
Hudson CO
Phone:80642

","492",2873,0,"561"
"202",-104.984089,40.362312,"Petro Center","Petro Center
I-25, Exit 254, 2842 SE Frontage Road
Johnstown CO
Phone:80534

","493",7600,0,"562"
"203",-103.538643,37.987695,"Loves Travel Stop","Loves Country Store
308 East 1st
LaJunta CO
Phone:81050

","494",815,0,"563"
"204",-102.631599,38.11714,"AM Best","Ports to Plains Travel Plaza
US50/US287
Lamar CO
Phone:

","495",2353,0,"564"
"205",-102.618721,38.100098,"Indie Truck Stop","JR Country Store
US50/US287, 1115 N Main St
Lamar CO
Phone:81052

","496",2625,0,"565"
"206",-102.616049,38.088626,"Loves Travel Stop","Loves Country Store
301 East Olive
Lamar CO
Phone:81052

","497",3235,0,"566"
"207",-102.62027,38.095707,"Loves Travel Stop","Loves Country Store
605 North Main, 50 & 287
Lamar CO
Phone:81052

","498",2681,0,"567"
"208",-103.708654,39.275545,"Flying J Travel Plaza","Flying J Travel Plaza
I-70 & Exit 359, 2495 Williams Ave
Limon CO
Phone:80828

","499",2979,0,"568"
"209",-103.706437,39.271127,"TA Travel Center","TA Travel Center
I-70 & Hwy 24, Exit 359, 2200 Ninth Street
Limon CO
Phone:80828

","500",2979,0,"569"
"210",-104.9803197,40.1600335,"Indie Truck Stop","Shell Fuel Stop
I-25 Ex 240 (Hwy 119), 10963 W. I24 Frontage Rd
Longmont CO
Phone:80301

","501",8450,0,"570"
"211",-104.981955,40.161283,"Indie Truck Stop","Longmont Truck Stop
I-25 Ex 240, 3851 Highway 119
Longmont CO
Phone:80501

","502",8450,0,"571"
"212",-107.957185,40.022233,"Indie Truck Stop","Kum and Go
Hwy 13, 39065 Highway 13
Meeker CO
Phone:81641

","503",250,0,"572"
"213",-106.115094,37.568568,"Indie Truck Stop","Monte Vista Co-op
1901 U.S. 160
Monte Vista CO
Phone:81144

","504",799,0,"573"
"214",-106.115441,37.568779,"Indie Truck Stop","Monte Vista Co-Op
US160, 1901 US Route 160 E.
Monte Vista CO
Phone:81144

","505",799,0,"574"
"215",-106.13721,37.578299,"Loves Travel Stop","Loves Country Store
1537 Grande Ave.
Monte Vista CO
Phone:81144

","506",799,0,"575"
"216",-107.854774,38.488412,"Indie Truck Stop","Blairs Truck Stop
2127 East Main Street
Montrose CO
Phone:81401

","507",2085,0,"576"
"217",-107.891467,38.491342,"Indie Truck Stop","Montrose Truck Stop
1440 North Townsend Avenue
Montrose CO
Phone:81401

","508",1675,0,"577"
"218",-104.864594,39.095877,"Indie Truck Stop","Conoco Truck Stop
I-25 Ex 161, 534 Highway 105
Monument CO
Phone:80132

","509",3760,0,"578"
"219",-103.746803,38.214218,"Indie Truck Stop","JRs Country Store
18055 County Road G
Ordway CO
Phone:81063

","510",293,0,"579"
"220",-108.300012,39.156976,"Indie Truck Stop","Eagle Travel Stop 4
Ih 70 Exit 47
Palisade CO
Phone:81526

","511",2480,0,"580"
"221",-105.032038,38.42265,"Indie Truck Stop","Kwik Stop
Hwy 115, 916 State Highway 115
Penrose CO
Phone:81240

","512",1065,0,"581"
"222",-104.616751,38.308224,"Indie Truck Stop","Diamond Shamrock
I-25 Ex 101, 601 W Route 50
Pueblo CO
Phone:81002

","513",7940,0,"582"
"223",-104.623415,38.343065,"Loves Travel Stop","Loves Travel Stop
Exit 104, I-25
Pueblo CO
Phone:81008

","514",6115,0,"583"
"224",-102.874196,39.291632,"Indie Truck Stop","Seibert Travel Plaza
17507 State Highway 59
Seibert CO
Phone:80834

","515",2550,0,"584"
